0006 "Generic Device Controls"

01 CA "Background Controls"

20 DV "Battery Strength"
21 DV "Wireless Channel"
22 DV "Wireless ID"
23 OSC "Discover Wireless Control"
24 OSC "Security Code Character Entered"
25 OSC "Security Code Character Erased"
26 OSC "Security Code Cleared"
27 DV "Sequence ID"
28 DF "Sequence ID Reset"
29 DV "RF Signal Strength"
2a CL "Software Version"
2b CL "Protocol Version"
2c CL "Hardware Version"
2d SV "Major"
2e SV "Minor"
2f SV "Revision"
30 NAry(31:34) "Handedness"
31 Sel "Either Hand"
32 Sel "Left Hand"
33 Sel "Right Hand"
34 Sel "Both Hands"

40 CP "Grip Pose Offset"
41 CP "Pointer Pose Offset"
