000e "Haptics"

01 CA,CL "Simple Haptic Controller"

10 NAry(1001:1007) "Waveform List"
11 NAry() "Duration List"

20 DV "Auto Trigger"
21 DV "Manual Trigger"
22 SV "Auto Trigger Associated Control"
23 DV "Intensity"
24 DV "Repeat Count"
25 DV "Retrigger Period"
26 SV "Waveform Vendor Page"
27 SV "Waveform Vendor ID"
28 SV "Waveform Cutoff Time"

1001 SV "Waveform None"
1002 SV "Waveform Stop"
1003 SV "Waveform Click"
1004 SV "Waveform Buzz Continuous"
1005 SV "Waveform Rumble Continuous"
1006 SV "Waveform Press"
1007 SV "Waveform Release"
1008 SV "Waveform Hover"
1009 SV "Waveform Success"
100A SV "Waveform Error"
100B SV "Waveform Ink Continuous"
100C SV "Waveform Pencil Continuous"
100D SV "Waveform Marker Continuous"
100E SV "Waveform Chisel Marker Continuous"
100F SV "Waveform Brush Continuous"
1010 SV "Waveform Eraser Continuous"
1011 SV "Waveform Sparkle Continuous"
