000f "Physical Interface Device"

01 CA "Physical Interface Device"

20 DV "Normal"
21 CL "Set Effect Report"
22 DV "Effect Block Index"
23 DV "Parameter Block Offset"
24 DF "ROM Flag"
25 NAry(26:28,30:34,40:43) "Effect Type"
26 Sel "ET Constant Force"
27 Sel "ET Ramp"
28 Sel "ET Custom Force Data"

30 Sel "ET Square"
31 Sel "ET Sine"
32 Sel "ET Triangle"
33 Sel "ET Sawtooth Up"
34 Sel "ET Sawtooth Down"

40 Sel "ET Spring"
41 Sel "ET Damper"
42 Sel "ET Inertia"
43 Sel "ET Friction"

50 DV "Duration"
51 DV "Sample Period"
52 DV "Gain"
53 DV "Trigger Button"
54 DV "Trigger Repeat Interval"
55 US "Axes Enable"
56 DF "Direction Enable"
57 CL "Direction"
58 CL "Type Specific Block Offset"
59 NAry(5a,5f,6b,6e,73,74) "Block Type"
5a CL "Set Envelope Report"
5b DV "Attack Level"
5c DV "Attack Time"
5d DV "Fade Level"
5e DV "Fade Time"
5f CL "Set Condition Report"
60 DV "CP Offset"
61 DV "Positive Coefficient"
62 DV "Negative Coefficient"
63 DV "Positive Saturation"
64 DV "Negative Saturation"
65 DV "Dead Band"
66 CL "Download Force Sample"
67 DF "Isoch Custom Force Enable"
68 CL "Custom Force Data Report"
69 DV "Custom Force Data"
6a DV "Custom Force Vendor Defined Data"
6b CL "Set Custom Force Report"
6c DV "Custom Force Data Offset"
6d DV "Sample Count"
6e CL "Set Periodic Report"
6f DV "Offset"
70 DV "Magnitude"
71 DV "Phase"
72 DV "Period"
73 CL "Set Constant Force Report"
74 CL "Set Ramp Force Report"
75 DV "Ramp Start"
76 DV "Ramp End"
77 CL "Effect Operation Report"
78 NAry(79:7b) "Effect Operation"
79 Sel "Op Effect Start"
7a Sel "Op Effect Start Solo"
7b Sel "Op Effect Stop"
7c DV "Loop Count"
7d CL "Device Gain Report"
7e DV "Device Gain"
7f CL "PID Pool Report"
80 DV "RAM Pool Size"
81 SV "ROM Pool Size"
82 SV "ROM Effect Block Count"
83 SV "Simultaneous Effects Max"
84 SV "Pool Alignment"
85 CL "PID Pool Move Report"
86 DV "Move Source"
87 DV "Move Destination"
88 DV "Move Length"
89 CL "PID Block Load Report"

8b NAry(8c:8e) "Block Load Status"
8c Sel "Block Load Success"
8d Sel "Block Load Full"
8e Sel "Block Load Error"
8f DV "Block Handle"
90 CL "PID Block Free Report"
91 CL "Type Specific Block Handle"
92 CL "PID State Report"

94 DF "Effect Playing"
95 CL "PID Device Control Report"
96 NAry(97:9c) "PID Device Control"
97 Sel "DC Enable Actuators"
98 Sel "DC Disable Actuators"
99 Sel "DC Stop All Effects"
9a Sel "DC Device Reset"
9b Sel "DC Device Pause"
9c Sel "DC Device Continue"

9f DF "Device Paused"
a0 DF "Actuators Enabled"

a4 DF "Safety Switch"
a5 DF "Actuator Override Switch"
a6 OOC "Actuator Power"
a7 DV "Start Delay"
a8 CL "Parameter Block Size"
a9 SF "Device Managed Pool"
aa SF "Shared Parameter Blocks"
ab CL "Create New Effect Report"
ac DV "RAM Pool Available"
