0041 "Braille Display"

01 CA "Braille Display"
02 NAry() "Braille Row"
03 DV "8 Dot Braille Cell"
04 DV "6 Dot Braille Cell"
05 DV "Number of Braille Cells"
06 NAry() "Screen Reader Control"
07 DV "Screen Reader Identifier"

fa:fc NAry() "Router Set {n+1}"

100 NAry() "Braille Buttons"

201:208 Sel "Braille Keyboard Dot {n+1}"
209 Sel "Braille Keyboard Space"
20a Sel "Braille Keyboard Left Space"
20b Sel "Braille Keyboard Right Space"
20c NAry() "Braille Face Controls"
20d NAry() "Braille Left Controls"
20e NAry() "Braille Right Controls"
20f NAry() "Braille Top Controls"
210 Sel "Braille Joystick Center"
211 Sel "Braille Joystick Up"
212 Sel "Braille Joystick Down"
213 Sel "Braille Joystick Left"
214 Sel "Braille Joystick Right"
215 Sel "Braille D-pad Center"
216 Sel "Braille D-pad Up"
217 Sel "Braille D-pad Down"
218 Sel "Braille D-pad Left"
219 Sel "Braille D-pad Right"
21a Sel "Braille Pan Left"
21b Sel "Braille Pan Right"
21c Sel "Braille Rocker Up"
21d Sel "Braille Rocker Down"
21e Sel "Braille Rocker Press"
