0082 "VESA Virtual Controls"

01 DF "Degauss"

10 DV "Brightness"

12 DV "Contrast"

16 DV "Red Video Gain"

18 DV "Green Video Gain"

1a DV "Blue Video Gain"

1c DV "Focus"

20 DV "Horizontal Position"

22 DV "Horizontal Size"

24 DV "Horizontal Pincushion"

26 DV "Horizontal Pincushion Balance"

28 DV "Horizontal Misconvergence"

2a DV "Horizontal Linearity"

2c DV "Horizontal Linearity Balance"

30 DV "Vertical Position"

32 DV "Vertical Size"

34 DV "Vertical Pincushion"

36 DV "Vertical Pincushion Balance"

38 DV "Vertical Misconvergence"

3a DV "Vertical Linearity"

3c DV "Vertical Linearity Balance"

40 DV "Parallelogram Distortion (Key Balance)"

42 DV "Trapezoidal Distortion (Key)"

44 DV "Tilt (Rotation)"

46 DV "Top Corner Distortion Control"

48 DV "Top Corner Distortion Balance"

4a DV "Bottom Corner Distortion Control"

4c DV "Bottom Corner Distortion Balance"

56 DV "Horizontal Moire"

58 DV "Vertical Moire"

5e NAry() "Input Level Select"

60 NAry() "Input Source Select"

6c DV "Red Video Black Level"

6e DV "Green Video Black Level"

70 DV "Blue Video Black Level"

a2 NAry() "Auto Size Center"

a4 NAry() "Polarity Horizontal Synchronization"

a6 NAry() "Polarity Vertical Synchronization"

a8 NAry() "Synchronization Type"

aa NAry() "Screen Orientation"

ac DV "Horizontal Frequency"

ae DV "Vertical Frequency"

b0 NAry() "Settings"

ca NAry() "On Screen Display"

d4 NAry() "StereoMode"
